task_size,current_edge_queue_time,current_leo_latency,chosen_node,total_experienced_latency
48.604831577813805,5.5,154.82674385519022,edge,7.497196401011195
12.483999977176131,2.75,164.35844772157722,edge,4.699509195485916
23.046813164725368,5.5,169.0570628345322,edge,4.862948614360903
49.338897970087665,8.25,170.17411622055016,edge,9.269454539983514
25.47537653026145,5.5,177.81366725411948,edge,7.964780387163955
49.79402102717212,5.5,185.2766900432782,edge,8.572229567302145
11.965857137332886,2.75,190.4331201659834,edge,6.113590455146465
31.06311308673153,5.5,195.23538600945668,edge,4.813773668912148
7.572437280836739,2.75,198.03726746498413,edge,1.827090715858617
43.37239514217284,0.0,199.40852065755138,edge,4.347239514217279
8.60501593582641,2.75,199.65823934479283,edge,4.331273765835249
35.38456491218406,5.5,199.80086782304454,edge,7.212709193183628
45.06292913582469,8.25,199.99703939082224,edge,9.85934226492472
32.87216796494464,5.5,199.5937978524026,edge,9.863001600818876
49.9304498384499,11.0,191.31361694014512,leo,1.1899226137091432
28.52522219893815,5.5,198.25608993331983,edge,9.464506952839002
37.22863103552367,8.25,196.89233399637138,edge,11.074592458120748
35.226060033198706,8.25,194.60573521256617,edge,11.90984092106686
12.098607456075438,11.0,178.01580733021189,leo,0.4199879564517346
38.833902158648094,8.25,191.9971192125605,edge,13.344699548116097
14.591944052016817,8.25,189.1117821099662,edge,12.509140476447726
44.63888781588978,8.25,182.61227509580053,edge,12.673251124055582
17.255669554166737,11.0,151.52869019846733,leo,0.49664208128180576
32.525499457667756,8.25,170.90748797888435,edge,9.706600028343615
5.352039821847107,5.5,163.355485937969,edge,6.7798750573961115
34.85249217347348,8.25,157.74875997829713,edge,7.86698801814353
10.194290168859599,8.25,153.10556695080385,edge,6.983543691849405
14.161879054735381,5.5,142.11274233993163,edge,4.114960851375685
26.983933346721944,5.5,135.98097349566837,edge,4.521402481156656
9.153431047073004,2.75,124.86952181309512,edge,1.398434445979376
5.1595560089502035,0.0,118.3380058667905,edge,0.5259556008950028
16.787986809545668,0.0,108.70468743154217,edge,1.6887986809545623
24.24591135413057,0.0,99.80589821188524,edge,2.4345911354130294
44.73978769850643,2.75,98.83691853047152,edge,6.563423589219411
42.55677589487075,2.75,90.10479033590656,edge,7.682330311089913
10.735048367696244,5.5,84.78389989755752,edge,6.81155379115711
40.82550371996188,5.5,73.64444785444454,edge,6.697159696925553
14.453444225288932,2.75,63.13652130863146,edge,3.9457302098750233
40.10523088421492,5.5,58.84925718180627,edge,6.147872433281179
32.92976795678207,2.75,52.71769858803016,edge,6.72171705946306
43.90725632989838,5.5,50.86775635582622,edge,10.254514083036668
43.63669631020017,11.0,30.43039979381086,leo,0.9031643259978068
44.6637292098496,5.5,42.957924106826624,edge,10.788571844200419
19.94834605758929,8.25,41.57669960760599,edge,12.041467766906294
19.771787803896792,11.0,22.308531641453012,leo,0.41774428771935845
43.882881276887574,8.25,34.93372396289355,edge,12.52305047778367
40.4318529110962,8.25,31.544650983461366,edge,14.265818640109899
25.713645560552393,8.25,25.83707704559874,edge,12.064123309630702
15.241796933349667,8.25,22.580624918155337,edge,9.702266505507112
17.560624672484213,8.25,20.354073162891755,edge,6.641783787613804
49.151735923921706,8.25,20.0006984947737,edge,8.857922226925837
10.190378833314242,2.75,20.779452712999017,edge,5.559248689283095
48.314044209269994,5.5,21.717214238353783,edge,8.354949661692729
24.555369135408995,8.25,22.865055199396217,edge,8.98527893358954
32.27939839877645,5.5,24.847049553305027,edge,9.77218683088222
30.94646195734698,8.25,27.571246549271468,edge,10.211246726582715
5.076107519838326,8.25,32.2130075107046,edge,7.092501627063996
37.37434996151805,8.25,37.00864866249255,edge,7.7145806319374515
21.389966230156887,5.5,43.249745154494974,edge,6.341691741654188
19.85900162191684,5.5,44.5905289352967,edge,7.629049292899083
37.38894183562776,5.5,52.95055547060341,edge,7.323897637942821
23.37768088786476,5.5,58.42055288702467,edge,7.233811740103363
10.727950957661895,5.5,64.09099911203121,edge,5.9196412282917095
